시도명,년도,면적당카페수(ea/㎢),인구당카페수(ea/명),총카페에대한구성비(%),카페당관할인구수(명/ea),전년도대비카페증감율(%)
강원,2016,0.13603622878334046,0.0014760066700799455,3.9564428312159707,677.5037134119702,0.0
강원,2017,0.1926059748857498,0.0020907761998578194,4.237875439674673,478.29126812712127,41.59021406727829
강원,2018,0.21761608766446,0.002373218789775069,4.191370035481286,421.3686510103768,12.989817957420549
강원,2019,0.23401612797794138,0.0025546512427489553,4.097644218763007,391.4428643981717,7.536865101037685
경기,2016,1.239570332078661,0.0009918391290877093,21.801054360038027,1008.228018710854,0.0
경기,2017,1.727893160504738,0.001366796917327662,23.00822469500634,731.6375880882017,39.50685800364703
경기,2018,1.9784815345650166,0.001541161138055049,23.067414444317272,648.8614170884192,14.53739486246874
경기,2019,2.1815308506252578,0.0016786677246993995,23.12598851244485,595.7105061867268,10.275875756673614
경남,2016,0.38192204046001443,0.0011929916703987793,6.957047791893527,838.2288198757764,0.0
경남,2017,0.46519792022467643,0.001450418352362617,6.411077840396459,689.4562512747298,21.81366459627329
경남,2018,0.5270498491432475,0.0016464196078942784,6.358017626187479,607.3785778577857,13.297980828064452
경남,2019,0.5600516124135444,0.001755511362943573,6.142304170481978,569.634592580044,6.264626462646265
경북,2016,0.18759162826380532,0.0013220273455986859,6.170598911070781,756.4140056022409,0.0
경북,2017,0.2381853147955484,0.0016840620781021405,5.92727225178812,593.8023384072359,26.974789915966387
경북,2018,0.26969657165375016,0.0019175659576566469,5.875014306970356,521.4944476914085,13.236267372600926
경북,2019,0.29485785140467297,0.002105155756018,5.839507200532756,475.0242337847469,9.331774790570817
광주,2016,3.1464485235434956,0.0010733630362901524,2.7257799671592773,931.6512365250476,0.0
광주,2017,4.351556264964087,0.001489988181203331,2.8518378074453756,671.1462631820266,38.300570703868104
광주,2018,5.223463687150838,0.0017939665710980887,2.9964518713517228,557.4239877769288,20.03668042182485
광주,2019,5.686352753391859,0.0019567886146485878,2.965537334554233,511.0414035087719,8.861726508785333
대구,2016,3.504979628791308,0.0012464998790528855,5.35303776683087,802.2463674523732,0.0
대구,2017,4.078768673607967,0.0014560257204277096,4.712527949579612,686.8010543840177,16.370681304488212
대구,2018,4.755545495699411,0.0017069026378998193,4.809431154858647,585.8564969062353,16.592674805771367
대구,2019,5.127334465195246,0.0018580567679410149,4.71364355281778,538.1966887417218,7.80580675868634
대전,2016,3.8327461524198037,0.0013649240278135464,3.57272491573762,732.6415094339623,0.0
대전,2017,4.924902651585389,0.0017680417140685128,3.4729395766047304,565.597515060241,28.495403967102078
대전,2018,5.642261353104726,0.002043040774905768,3.4840334210827515,489.4664914586071,14.60843373493976
대전,2019,6.094531974050047,0.002229349027371904,3.421293598601515,448.56143552311437,8.015768725361367
부산,2016,4.275136399064692,0.0009406810691007564,5.688358828104745,1063.0595563658462,0.0
부산,2017,4.986361865177296,0.001106131900826732,5.019809877479504,904.0513154467308,16.651473716195685
부산,2018,5.988311688311688,0.0013398410496961606,5.277555224905574,746.3571893298633,20.109403490492316
부산,2019,6.383945967008702,0.0014397272749375265,5.11425122783651,694.5759918616479,6.592929950119281
