지역,2017(면적),카페수,면적대비 카페수
서울특별시,605.2,14515,23.983807005948446
부산광역시,769.9,3839,4.986361865177296
대구광역시,883.6,3604,4.078768673607967
인천광역시,1062.6,4160,3.914925654056089
광주광역시,501.2,2181,4.351556264964087
대전광역시,539.3,2656,4.924902651585389
울산광역시,1060.8,1470,1.3857466063348416
세종특별자치시,464.9,370,0.795870079587008
경기도,10183.5,17596,1.727893160504738
강원도,16827.1,3241,0.1926059748857498
충청북도,7407.3,2295,0.30982949252764164
충청남도,8226.1,3417,0.4153851764505659
전라북도,8069.1,3193,0.3957070800956736
전라남도,12318.8,2813,0.22835016397701077
경상북도,19031.4,4533,0.2381853147955484
경상남도,10539.6,4903,0.46519792022467643
제주특별자치도,1849.1,1691,0.9144989454329133
