,2016년 카페수,2017년 카페수,2018년 카페수,2019년 카페수,2016인구당카페수(ea/명),2017인구당카페수(ea/명),2018인구당카페수(ea/명),2019인구당카페수(ea/명),2016카페당관할인구수(명/ea),2017카페당관할인구수(명/ea),2018카페당관할인구수(명/ea),2019카페당관할인구수(명/ea)
강원도,2289,3241,3662,3938,0.0014760066700799455,0.0020907761998578194,0.002373218789775069,0.0025546512427489553,677.5037134119702,478.29126812712127,421.3686510103768,391.44286439817165
경기도,12613,17596,20154,22225,0.0009918391290877093,0.001366796917327662,0.001541161138055049,0.0016786677246993995,1008.2280187108539,731.6375880882018,648.8614170884192,595.7105061867267
경상남도,4025,4903,5555,5903,0.0011929916703987793,0.001450418352362617,0.0016464196078942782,0.001755511362943573,838.2288198757764,689.4562512747298,607.3785778577858,569.634592580044
경상북도,3570,4533,5133,5612,0.0013220273455986859,0.0016840620781021405,0.0019175659576566469,0.0021051557560179996,756.4140056022409,593.8023384072359,521.4944476914085,475.02423378474697
광주광역시,1577,2181,2618,2850,0.0010733630362901524,0.001489988181203331,0.0017939665710980884,0.001956788614648588,931.6512365250476,671.1462631820266,557.4239877769289,511.0414035087719
대구광역시,3097,3604,4202,4530,0.0012464998790528855,0.0014560257204277096,0.0017069026378998193,0.0018580567679410147,802.2463674523733,686.8010543840178,585.8564969062352,538.1966887417218
대전광역시,2067,2656,3044,3288,0.0013649240278135462,0.001768041714068513,0.002043040774905768,0.002229349027371904,732.6415094339623,565.597515060241,489.4664914586071,448.56143552311437
부산광역시,3291,3839,4611,4915,0.0009406810691007563,0.001106131900826732,0.0013398410496961604,0.0014397272749375263,1063.0595563658462,904.0513154467309,746.3571893298633,694.575991861648
서울특별시,11125,14515,16281,18742,0.001120272901499766,0.0014724939350292865,0.001667174741437387,0.001926384405064103,892.6396404494382,679.1199448846021,599.8171488237823,519.1071924020915
세종특별자치시,177,370,438,486,0.0007282512096376025,0.0013209568011424491,0.001394344944385374,0.0014269984584893195,1373.1525423728813,757.027027027027,717.1826484018264,700.7716049382716
울산광역시,1213,1470,1793,2077,0.0010347145450326878,0.0012616596231156641,0.0015515440589188689,0.0018092035062137472,966.4501236603462,792.6068027210885,644.5192414947016,552.7294174289841
인천광역시,3071,4160,4432,4953,0.0010434685697141316,0.0014108667945038598,0.0015000125226677207,0.0016749937268052428,958.3422338000652,708.7841346153846,666.6611010830325,597.0171613163739
전라남도,1906,2813,3309,3588,0.0010010956377231324,0.0014833180765482824,0.0017573301752019416,0.0019200051371374906,998.9055613850996,674.1642374688944,569.0450287095799,520.831939799331
전라북도,2424,3193,3715,3920,0.001299877573411712,0.0017216585508412294,0.002022503963345586,0.0021551285737611997,769.3032178217821,580.8352646414031,494.43660834454914,464.0094387755102
제주특별자치도,1261,1691,2089,2224,0.001965408192369977,0.002573495281418025,0.0031310374390541838,0.0033145103720031177,508.80015860428233,388.5765819041987,319.3829583532791,301.7036870503597
충청남도,2466,3417,3760,4037,0.001176118779411912,0.0016142519026630196,0.0017683449326100678,0.0019009195704307888,850.2542579075425,619.4820017559263,565.5005319148936,526.0611840475601
충청북도,1683,2295,2574,2816,0.0010574098798397864,0.001439384056516678,0.0016095024423918181,0.0017599923000336873,945.7070707070707,694.7416122004357,621.3100233100233,568.1843039772727
