시군구명,2016,2017,2018,2019
용인시 기흥구,438.0,580.0,670.0,771.0
용인시 수지구,318.0,403.0,481.0,516.0
용인시 처인구,252.0,389.0,461.0,477.0
울릉군,11.0,13.0,17.0,26.0
울주군,205.0,248.0,317.0,346.0
울진군,78.0,98.0,105.0,110.0
원주시,490.0,709.0,804.0,897.0
유성구,542.0,715.0,786.0,830.0
은평구,275.0,416.0,453.0,568.0
음성군,108.0,156.0,186.0,190.0
의령군,55.0,57.0,61.0,61.0
의성군,82.0,107.0,108.0,110.0
의왕시,143.0,206.0,219.0,226.0
의정부시,432.0,691.0,724.0,724.0
이천시,243.0,357.0,463.0,479.0
익산시,388.0,512.0,579.0,611.0
인제군,38.0,55.0,61.0,72.0
임실군,41.0,54.0,63.0,65.0
장성군,33.0,45.0,53.0,62.0
장수군,17.0,20.0,23.0,23.0
장흥군,42.0,63.0,71.0,71.0
전주시 덕진구,399.0,545.0,641.0,690.0
전주시 완산구,669.0,800.0,942.0,1017.0
정선군,93.0,121.0,136.0,139.0
정읍시,97.0,132.0,163.0,165.0
제주시,839.0,1138.0,1413.0,1505.0
제천시,166.0,203.0,208.0,212.0
종로구,736.0,1053.0,1085.0,1166.0
중구,2109.0,2828.0,2999.0,3439.0
중랑구,191.0,267.0,294.0,309.0
증평군,17.0,36.0,48.0,52.0
진도군,45.0,48.0,53.0,53.0
진안군,15.0,19.0,24.0,24.0
진주시,432.0,508.0,615.0,640.0
진천군,88.0,114.0,113.0,125.0
창녕군,178.0,186.0,192.0,191.0
창원시 마산합포구,252.0,307.0,279.0,289.0
창원시 마산회원구,229.0,262.0,286.0,330.0
창원시 성산구,284.0,324.0,381.0,408.0
창원시 의창구,309.0,398.0,491.0,526.0
창원시 진해구,205.0,247.0,315.0,329.0
천안시 동남구,345.0,465.0,555.0,592.0
천안시 서북구,309.0,485.0,553.0,652.0
철원군,52.0,67.0,77.0,77.0
청도군,91.0,122.0,136.0,134.0
청송군,50.0,64.0,71.0,73.0
청양군,55.0,64.0,65.0,65.0
청주시 상당구,249.0,363.0,409.0,472.0
청주시 서원구,193.0,218.0,257.0,293.0
청주시 청원구,143.0,184.0,207.0,244.0
청주시 흥덕구,224.0,319.0,358.0,374.0
춘천시,403.0,549.0,634.0,677.0
충주시,233.0,378.0,415.0,450.0
칠곡군,120.0,162.0,189.0,198.0
태백시,58.0,73.0,80.0,89.0
태안군,67.0,91.0,100.0,112.0
통영시,170.0,198.0,242.0,269.0
파주시,479.0,681.0,824.0,868.0
평창군,66.0,94.0,104.0,116.0
평택시,402.0,673.0,812.0,842.0
포천시,204.0,273.0,308.0,329.0
포항시 남구,298.0,365.0,431.0,456.0
포항시 북구,380.0,496.0,566.0,585.0
하남시,110.0,198.0,261.0,274.0
하동군,105.0,120.0,111.0,111.0
함안군,96.0,106.0,93.0,95.0
함양군,49.0,60.0,53.0,53.0
함평군,27.0,36.0,44.0,47.0
합천군,95.0,113.0,97.0,97.0
해남군,66.0,85.0,95.0,98.0
해운대구,380.0,437.0,538.0,592.0
홍성군,103.0,153.0,157.0,166.0
홍천군,81.0,113.0,130.0,137.0
화성시,534.0,913.0,1102.0,1212.0
화순군,57.0,94.0,112.0,131.0
화천군,26.0,36.0,40.0,41.0
횡성군,62.0,79.0,90.0,93.0
