개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
휴게음식점,20160314,,01,영업/정상,01,영업,,63.00,부산광역시 동래구 안락동 243-1번지,카페메종,20160324085856,I,2018-08-31 23:59:59.0,커피숍,391519.15017547,190183.009163318,커피숍,,,N,63
휴게음식점,20180716,,01,영업/정상,01,영업,,11.61,부산광역시 동래구 안락동 425-105번지,더커피,20180813145152,I,2018-08-31 23:59:59.0,커피숍,391066.008148716,191059.352179538,커피숍,,,N,11.61
휴게음식점,20180718,,01,영업/정상,01,영업,,39.80,부산광역시 동래구 사직동 93-6번지 사직동 자이언츠 파크,감성커피,20180823114119,I,2018-08-31 23:59:59.0,커피숍,387655.81972947,190506.472924428,커피숍,,,N,39.8
휴게음식점,20110428,,01,영업/정상,01,영업,,187.57,부산광역시 사하구 다대동 1552-13번지 1층,카페베네 다대포해수욕장점,20190813102729,U,2019-08-15 02:40:00.0,커피숍,379351.071349065,173906.940517312,커피숍,,,Y,187.57
휴게음식점,20141219,,01,영업/정상,01,영업,,58.50,부산광역시 부산진구 범천동 854-31번지,카페보리,20170115150419,I,2018-08-31 23:59:59.0,커피숍,387730.25155151,185076.239080067,커피숍,,,N,58.5
휴게음식점,20141224,,01,영업/정상,01,영업,,53.09,부산광역시 부산진구 개금동 177-10번지 지상1층일부,카페히로,20150106094004,I,2018-08-31 23:59:59.0,커피숍,384150.482426091,185424.875873342,커피숍,,,N,53.09
휴게음식점,20110728,,01,영업/정상,01,영업,,231.53,"부산광역시 사상구 괘법동 546-16번지 1,2층",(주)위드커피,20150724093512,I,2018-08-31 23:59:59.0,커피숍,380802.418552723,186629.397913714,커피숍,,,N,231.53
휴게음식점,20170117,,01,영업/정상,01,영업,,30.25,부산광역시 사상구 주례동 산 69-1번지 외 36필지 동서대학교 창의능력개발센터 2층,카페드림 동서대학교점,20170215100505,I,2018-08-31 23:59:59.0,커피숍,383152.037522922,184350.12397501,커피숍,,,N,30.25
휴게음식점,20170125,,01,영업/정상,01,영업,,10.28,부산광역시 사상구 엄궁동 225-1번지,커피팜스,20170125103259,I,2018-08-31 23:59:59.0,다방,379786.134775161,182346.224057736,다방,,,N,10.28
휴게음식점,20170224,,01,영업/정상,01,영업,,33.80,부산광역시 사상구 덕포동 761-1번지,모모푸드카페,20170315094604,I,2018-08-31 23:59:59.0,커피숍,381151.720225965,188596.805633581,커피숍,,,N,33.8
휴게음식점,20180122,,01,영업/정상,01,영업,,23.78,부산광역시 금정구 부곡동 275-16번지 금정종합유선방송,카페일다,20190507173926,U,2019-05-09 02:40:00.0,커피숍,390471.380739517,194147.309479785,커피숍,,,N,23.78
휴게음식점,20180125,,01,영업/정상,01,영업,,29.65,부산광역시 금정구 부곡동 235-20번지 서경빌,카페라보엠,20180125141725,I,2018-08-31 23:59:59.0,커피숍,390177.449625552,194844.374073134,커피숍,,,N,29.65
휴게음식점,20180126,,01,영업/정상,01,영업,,73.50,부산광역시 금정구 구서동 481-1번지,스마일커피,20180410141155,I,2018-08-31 23:59:59.0,커피숍,390539.69002338,196200.689930758,커피숍,,,N,73.5
휴게음식점,20180131,,01,영업/정상,01,영업,,43.62,부산광역시 금정구 남산동 130-42번지 로얄하우스,HAUNT COFFEE 하운트 커피,20180212175656,I,2018-08-31 23:59:59.0,커피숍,390131.320928897,197709.88280541,커피숍,,,N,43.62
휴게음식점,20180223,,01,영업/정상,01,영업,,191.73,부산광역시 금정구 남산동 24-13번지 수광빌딩,핸즈커피 범어사역점,20180307095206,I,2018-08-31 23:59:59.0,커피숍,390316.249489251,198875.545060975,커피숍,,,Y,191.73
휴게음식점,20140704,,01,영업/정상,01,영업,,68.23,"부산광역시 부산진구 부전동 573-3번지 외 61필지, 부전시장2층 217호",부전역 커피숍,20140711173059,I,2018-08-31 23:59:59.0,커피숍,387713.995735189,186850.240379432,커피숍,,,N,68.23
휴게음식점,20170501,,01,영업/정상,01,영업,,17.00,부산광역시 사상구 주례동 81번지,디초코렛커피,20170524174132,I,2018-08-31 23:59:59.0,커피숍,383317.542366441,185013.86379536,커피숍,,,N,17
휴게음식점,20170517,,01,영업/정상,01,영업,,18.80,부산광역시 사상구 주례동 526-14번지,미니카페(MINI CAFE),20170608180050,I,2018-08-31 23:59:59.0,일반조리판매,382788.529505954,184914.660039681,일반조리판매,,,N,18.8
휴게음식점,20180111,,01,영업/정상,01,영업,,73.78,부산광역시 금정구 부곡동 64-3번지 기센빌딩,퍼센트 실링가커피,20180711111954,I,2018-08-31 23:59:59.0,커피숍,390259.724343392,195741.192530196,커피숍,,,N,73.78
휴게음식점,20180118,,01,영업/정상,01,영업,,62.25,부산광역시 금정구 장전동 400-1번지,번아웃커피,20180202112800,I,2018-08-31 23:59:59.0,커피숍,389719.037566701,194484.99881995,커피숍,,,N,62.25
휴게음식점,20171212,,01,영업/정상,01,영업,,234.06,부산광역시 금정구 구서동 184-38번지,이디야커피부산두실역점,20180102102130,I,2018-08-31 23:59:59.0,커피숍,390238.014732055,197073.652630176,커피숍,,,N,234.06
휴게음식점,20180226,,01,영업/정상,01,영업,,25.08,부산광역시 금정구 장전동 400-54번지,우주라이크 커피,20180523141959,I,2018-08-31 23:59:59.0,커피숍,389674.435327603,194437.045668768,커피숍,,,N,25.08
휴게음식점,20170517,,01,영업/정상,01,영업,,41.00,부산광역시 사상구 괘법동 564-1번지,컴포즈커피사상점,20170614173727,I,2018-08-31 23:59:59.0,다방,380407.925258369,186560.886942513,다방,,,N,41
휴게음식점,20170517,,01,영업/정상,01,영업,,47.00,부산광역시 사상구 괘법동 559-7번지,제이스커피(JCE COFFEE),20170614171443,I,2018-08-31 23:59:59.0,다방,380625.391364589,186530.255912963,다방,,,N,47
휴게음식점,20170526,,01,영업/정상,01,영업,,106.00,부산광역시 사상구 감전동 120-6번지 1층,커피랑,20171201111522,I,2018-08-31 23:59:59.0,커피숍,380988.304444477,185929.27032325,커피숍,,,N,106
휴게음식점,20170526,,01,영업/정상,01,영업,,17.10,부산광역시 사상구 주례동 60-5번지,아이카페 피씨(pc)방,20170621151539,I,2018-08-31 23:59:59.0,기타 휴게음식점,383397.757213612,185398.39129289,기타 휴게음식점,,,N,17.1
휴게음식점,20170530,,01,영업/정상,01,영업,,20.70,부산광역시 사상구 주례동 187-5번지,메가커피 동서대,20170629181149,I,2018-08-31 23:59:59.0,다방,383255.725215775,185383.82419605,다방,,,N,20.7
휴게음식점,20151021,,01,영업/정상,01,영업,,25.00,부산광역시 금정구 구서동 409-20번지,셀렉토커피 부산 구서점,20151127112505,I,2018-08-31 23:59:59.0,커피숍,389947.500845882,196177.234971755,커피숍,,,N,25
휴게음식점,20170419,,01,영업/정상,01,영업,,79.86,부산광역시 동래구 사직동 1039번지,셀렉토커피 사직점,20170419101023,I,2018-08-31 23:59:59.0,커피숍,387969.373279321,190592.219178473,커피숍,,,N,79.86
